SiteCode,Regions,Country,Site name,National name,Global KBA criteria,KBA Classification,Ecosystems,Latitude,Longitude,Elevation (m),Area (Km2),PA/OECM coverage (%),Legacy site,Year of assessment
100154,South America,Peru,"Huacas de San Marcos-Parque de las Leyendas, Pucllana y Mateo Salado","Huacas de San Marcos-Parque de las Leyendas, Pucllana y Mateo Salado","A1a,B1",Global,terrestrial,-12.0599,-77.0863,65,0.32255,,No,2023
100155,South America,Peru,Huagal,Huagal,"A1a,A1e,B1",Global,"terrestrial, freshwater",-7.311,-77.995,1300 to 3000,55.67995,,No,2023
100156,South America,Peru,Izuchaca,Izuchaca,"A1a,A1c,B1",Global,"terrestrial, freshwater",-12.579,-75.069,2850 to 4750,232.28422,,No,2023
100157,South America,Peru,La Oroya - Huay Huay,La Oroya - Huay Huay,"A1a,A1c,B1",Global,"terrestrial, freshwater",-11.6712,-75.7416,3500 to 4500,642.72488,,No,2023
100158,South America,Peru,Lomas Cerro Campana,Lomas Cerro Campana,"A1a,A1c,B1",Global,terrestrial,-7.9629,-79.1165,150 to 900,46.69821,,No,2023
100159,South America,Peru,Lomas de Atico,Lomas de Atico,"A1a,A1c,B1",Global,terrestrial,-16.214,-73.554,1300,467.35069,,No,2023
100160,South America,Peru,Lomas de Camaná,Lomas de Camaná,"A1a,A1c",Global,terrestrial,-16.607,-72.544,1000,315.64343,,No,2023
100161,South America,Peru,Lomas de Ilo,Lomas de Ilo,"A1a,A1c",Global,terrestrial,-17.7188,-71.1724,120 to 1400,63.68698,,No,2023
100162,South America,Peru,Lomas de Quilca,Lomas de Quilca,"A1a,A1c",Global,"terrestrial, marine",-16.747,-72.39,1250,530.738,,No,2023
100163,South America,Peru,Lomas de Sama,Lomas de Sama,"A1a,A1c",Global,"terrestrial, freshwater",-18.016,-70.777,940,343.91376,,No,2023
100164,South America,Peru,Lomas de Tacahuay - Ite,Lomas de Tacahuay - Ite,"A1a,A1c",Global,"terrestrial, marine",-17.8118,-71.0367,1740,256.81481,,No,2023
100165,South America,Peru,Paloma,Paloma,B1,Global,terrestrial,-11.152,-75.327,850 to 1500,14.22835,,No,2023
100166,South America,Peru,Pozo Kuan,Pozo Kuan,"A1b,B1",Global,"terrestrial, freshwater",-7.411,-78.672,3320 to 4100,40.57251,,No,2023
100167,South America,Peru,Pucunucho,Pucunucho,A1c,Global,terrestrial,-7.2091,-76.7684,300 to 1100,33.76238,,No,2023
100168,South America,Peru,Puquina,Puquina,"A1a,A1c",Global,terrestrial,-16.607,-71.191,3200 to 5070,808.09165,,No,2023
100169,South America,Peru,Quebrada Baja Tinajas,Quebrada Baja Tinajas,"A1b,A1d",Global,terrestrial,-12.116,-76.776,300 to 1000,20.22226,,No,2023
100170,South America,Peru,Quebrada Quicacha,Quebrada Quicacha,"A1b,A1d",Global,"terrestrial, freshwater",-15.618,-73.794,1450 to 2800,50.35277,,No,2023
100171,South America,Peru,Quellouno,Quellouno,"A1b,B1",Global,"terrestrial, freshwater",-12.62,-72.471,800 to 2000,91.32802,,No,2023
100172,South America,Peru,Quesquenda - Quiruvilca,Quesquenda - Quiruvilca,"A1a,B1",Global,terrestrial,-7.9253,-78.1907,3500 to 4000,49.09018,,No,2023
100173,South America,Peru,Corredor de Conchucos,Corredor de Conchucos,"B1,B2",Global,"terrestrial, freshwater",-9.3438,-77.1749,2450 to 3900,1212.77355,,No,2023
100174,South America,Peru,Río Chillón,Río Chillón,"A1b,A1d,B1",Global,"terrestrial, freshwater",-11.635,-76.727,1250 to 3700,155.39927,,No,2023
