"SiteCode","Regions","Country","Site name","National name","Global KBA criteria","KBA Classification","Ecosystems","Latitude","Longitude","Elevation (m)","Area (Km2)","PA/OECM coverage (%)","Legacy site","Year of assessment"
"100072","South America","Peru","Reserva Paisajística Nor Yauyos Cochas and Buffer zone","Reserva Paisajistica Nor Yauyos Cochas y zona de amortiguamiento","A1a,A1b,B1,B2","Global","terrestrial","-12.0910","-75.8350","2650 to 5850","3309.012155","65.00","No","2023"
"100073","South America","Peru","Araza River","Río Araza","A1b,A1e,B1,B2","Global","terrestrial, freshwater","-13.5480","-71.0089","1000 to 5350","365.499269","","No","2023"
"100074","South America","Peru","Huayllay National Sanctuary","Santuario Nacional Huayllay","A1a","Global","terrestrial, freshwater","-10.9555","-76.3387","4200 to 4500","68.168332","58.45","No","2023"
"100075","South America","Peru","Sihuas","Sihuas","A1a,A1b,A1d","Global","terrestrial","-8.5700","-77.6700","3600 to 4070","3.051002","","No","2023"
"100111","South America","Peru","Shipasbamba","Shipasbamba","A1e","Global","terrestrial, freshwater","-5.8848","-78.0689","15 to 2598","19.272376","","No","2023"
"100128","South America","Peru","Abra Patricia-Hierba Buena","Abra Patricia-Hierba Buena","A1a,A1c,A1e,B1,B2","Global","terrestrial","-5.7226","-77.8032","1450 to 3400","663.11805","","No","2023"
"100129","South America","Peru","Bosque de Protección Alto Mayo","Bosque de Protección Alto Mayo","A1a,A1e,B1,B2","Global","terrestrial","-5.7420","-77.5700","900 to 4000","2865.47155","","No","2023"
"100130","South America","Peru","Río Nieva","Río Nieva","A1a,A1c,B2","Global","terrestrial, freshwater","-5.3843","-77.8328","550 to 2600","964.46742","","No","2023"
"100131","South America","Peru","Alto Huayabamba","Alto Huayabamba","A1a,A1b,A1c","Global","terrestrial","-7.2113","-77.5788","1500 to 4500","921.16321","","No","2023"
"100132","South America","Peru","Alto Huaytara","Alto Huaytara","A1a,A1e","Global","terrestrial, freshwater","-13.5758","-75.2266","3900 to 4200","22.74297","","No","2023"
"100133","South America","Peru","Amazonas Napo","Amazonas Napo","A1b,B1,B2","Global","terrestrial, freshwater","-3.3642","-72.7003","100 to 150","2396.13182","","No","2023"
"100136","South America","Peru","Aymara Lupaca","Aymara Lupaca","A1a,A1c","Global","terrestrial, freshwater","-16.8203","-69.4507","3825 to 5200","2584.00751","","No","2023"
"100137","South America","Peru","Bosque de Palmeras Taulia Molinopampa","Bosque de Palmeras Taulia Molinopampa","A1c","Global","terrestrial","-6.2534","-77.5538","2150 to 3250","181.24366","","No","2023"
"100138","South America","Peru","Pui Pui Protected Forest","Bosque de Protección de Pui Pui","A1a,B2","Global","terrestrial","-11.2806","-75.0592","1700 to 4500","679.04645","","No","2023"
"100139","South America","Peru","Cerro Blanco-Cerro Paredes","Cerro Blanco-Cerro Paredes","A1a,B1","Global","terrestrial","-11.7840","-77.1250","100 to 450","11.64347","","No","2023"
"100140","South America","Peru","Chacamarca","Chacamarca","A1a","Global","terrestrial, freshwater","-11.2195","-75.9767","4200 to 4500","38.34216","65.24","No","2023"
"100141","South America","Peru","Chala","Chala","A1a,A1c,B1","Global","terrestrial","-15.8570","-74.2310","100 to 150","34.64673","","No","2023"
"100142","South America","Peru","Chincheros","Chincheros","A1a,A1c","Global","terrestrial","-13.6140","-73.6860","3000 to 4200","234.61787","","No","2023"
"100143","South America","Peru","Chorropampa","Chorropampa","A1a,A1c","Global","terrestrial","-9.7355","-75.6759","900 to 2900","120.8635","","No","2023"
"100144","South America","Peru","Chuchuhuasi","Chuchuhuasi","A1b,B2","Global","terrestrial","-5.3572","-78.7441","500 to 1200","105.80492","","No","2023"
